2019/09/26 14:25:47 INFO  : Form QC/Archive/Phiếu Yêu Cầu Chuyển Hàng.xlsx: Copied (new)
2019/09/26 14:25:47 INFO  : Form QC/Archive/Phiếu Yêu Cầu Chuyển Hàng.xls: Copied (new)
2019/09/26 14:25:47 INFO  : Form QC/Archive/Bảng theo dõi độ dẽo lever.xlsx: Copied (new)
2019/09/26 14:25:47 INFO  : 0. General information/7. Form annoucement/Thông báo quản lý ra vào cổng.docx: Copied (new)
2019/09/26 14:25:47 INFO  : Form QC/Archive/Thumbs.db: Copied (new)
2019/09/26 14:25:47 INFO  : 0. General information/6. Contract list/1. Contract list.xlsx: Copied (new)
2019/09/26 14:25:47 INFO  : Form QC/Archive/Bảng Theo Dõi NG trong QTSX.xlsx: Copied (new)
2019/09/26 14:25:47 INFO  : Form QC/Archive/Form KT QT SX.xlsx: Copied (new)
2019/09/26 14:25:48 INFO  : Form QC/Archive/phiếu chuyển kho.xlsx: Copied (new)
2019/09/26 14:25:48 INFO  : 0. General information/8. Company legal document/2016. Charter.pdf: Copied (new)
2019/09/26 14:25:49 INFO  : 0. General information/8. Company legal document/2018. Chứng nhận kiểm tra điện trở nối đất hệ thống chống sét.pdf: Copied (new)
2019/09/26 14:25:49 INFO  : 0000002 - 6215112/Archives/0000002 - MS 2018-02-02.xlsx: Copied (new)
2019/09/26 14:25:49 INFO  : 0. General information/8. Company legal document/2019. An toan ve sinh lao động.pdf: Copied (new)
2019/09/26 14:25:49 INFO  : 0000002 - 6215112/Archives/0000002 MS MR DAN EXAMPLE.xlsx: Copied (new)
2019/09/26 14:25:50 INFO  : 0. General information/8. Company legal document/2018.Xác nhận đăng ký kế toán trưởng.pdf: Copied (new)
2019/09/26 14:25:50 INFO  : 0. General information/8. Company legal document/2019. Chứng nhận bảo hiểm cháy nổ bắt buộc.pdf: Copied (new)
2019/09/26 14:25:50 INFO  : 0. General information/8. Company legal document/2018. Thang ban luong.pdf: Copied (new)
2019/09/26 14:25:50 INFO  : 0000002 - 6215112/Archives/0000002 - IIS.xlsx: Copied (new)
2019/09/26 14:25:50 INFO  : 0000002 - 6215112/Archives/INCOMING INSPECTION SHEET1 2015.xlsx: Copied (new)
2019/09/26 14:25:50 INFO  : 0000002 - 6215112/Archives/0000002.xlsx: Copied (new)
2019/09/26 14:25:50 INFO  : 0. General information/8. Company legal document/2019. Môi trường Q1.pdf: Copied (new)
2019/09/26 14:25:50 INFO  : 0000002 - 6215112/Archives/Thumbs.db: Copied (new)
2019/09/26 14:25:50 INFO  : 0. General information/8. Company legal document/2016. Thoa uoc lao dong tap the.pdf: Copied (new)
2019/09/26 14:25:51 INFO  : 0000002 - 6215112/Archives/~$INCOMING INSPECTION SHEET1 2015.xlsx: Copied (new)
2019/09/26 14:25:51 INFO  : 0000002 - 6215112/Archives - 0000002/6215112_LOGO.pdf: Copied (new)
2019/09/26 14:25:51 INFO  : 0000002 - 6215112/Archives - 0000002/6215112_Logo_Placement.pdf: Copied (new)
2019/09/26 14:25:51 INFO  : 0000002 - 6215112/Archives - 0000002/Logo.pdf: Copied (new)
2019/09/26 14:25:52 INFO  : 0000002 - 6215112/Archives - 0000002/6215112_86.stp: Copied (new)
2019/09/26 14:25:52 INFO  : 0000002 - 6215112/Archives - 0000002/9100926.eps: Copied (new)
2019/09/26 14:25:52 INFO  : 0000002 - 6215112/Archives - 0000002/Creo Drawing plus Logo.xlsx: Copied (new)
